[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

2025/11/08 13:04:14 stdioProxy initialized: true
2025/11/08 13:04:14 stdioToHTTPAdapter initialized: true
2025/11/08 13:04:14 remoteHTTPAdapter initialized: true
2025/11/08 13:04:14 remoteHTTPPlugin initialized: true
[GIN-debug] GET    /health                   --> main.main.func3 (4 handlers)
[GIN-debug] GET    /docs/*any                --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] GET    /swagger/doc.json         --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] GET    /api/v1/monitoring/metrics --> main.main.func4 (4 handlers)
[GIN-debug] GET    /api/v1/monitoring/logs   --> main.main.func5 (4 handlers)
[GIN-debug] GET    /api/v1/monitoring/cache  --> main.main.func6 (4 handlers)
[GIN-debug] POST   /api/v1/discovery/scan    --> suse-ai-up/internal/handlers.(*DiscoveryHandler).ScanForMCPServers-fm (4 handlers)
[GIN-debug] GET    /api/v1/discovery/scan    --> suse-ai-up/internal/handlers.(*DiscoveryHandler).ListScanJobs-fm (4 handlers)
[GIN-debug] GET    /api/v1/discovery/scan/:jobId --> suse-ai-up/internal/handlers.(*DiscoveryHandler).GetScanJob-fm (4 handlers)
[GIN-debug] DELETE /api/v1/discovery/scan/:jobId --> suse-ai-up/internal/handlers.(*DiscoveryHandler).CancelScanJob-fm (4 handlers)
[GIN-debug] GET    /api/v1/discovery/servers --> suse-ai-up/internal/handlers.(*DiscoveryHandler).ListDiscoveredServers-fm (4 handlers)
[GIN-debug] GET    /api/v1/discovery/servers/:id --> suse-ai-up/internal/handlers.(*DiscoveryHandler).GetDiscoveredServer-fm (4 handlers)
[GIN-debug] POST   /api/v1/discovery/register --> suse-ai-up/internal/handlers.(*RegistrationHandler).RegisterDiscoveredServer-fm (4 handlers)
[GIN-debug] GET    /api/v1/adapters          --> main.main.func7 (4 handlers)
[GIN-debug] POST   /api/v1/adapters          --> main.main.func8 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name    --> main.main.func9 (4 handlers)
[GIN-debug] PUT    /api/v1/adapters/:name    --> main.main.func10 (4 handlers)
[GIN-debug] DELETE /api/v1/adapters/:name    --> main.main.func11 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/token --> suse-ai-up/internal/handlers.(*TokenHandler).GetAdapterToken-fm (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/token/validate --> suse-ai-up/internal/handlers.(*TokenHandler).ValidateToken-fm (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/token/refresh --> suse-ai-up/internal/handlers.(*TokenHandler).RefreshToken-fm (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/client-token --> suse-ai-up/internal/handlers.(*MCPAuthHandler).GetClientToken-fm (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/validate-auth --> suse-ai-up/internal/handlers.(*MCPAuthHandler).ValidateAuthConfig-fm (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/test-auth --> suse-ai-up/internal/handlers.(*MCPAuthHandler).TestAuthConnection-fm (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/logs --> main.main.func12 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/status --> main.main.func13 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/sessions --> main.main.func14 (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/sessions --> main.main.func15 (4 handlers)
[GIN-debug] DELETE /api/v1/adapters/:name/sessions --> main.main.func16 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/sessions/:sessionId --> main.main.func17 (4 handlers)
[GIN-debug] DELETE /api/v1/adapters/:name/sessions/:sessionId --> main.main.func18 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] PUT    /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] PATCH  /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] HEAD   /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] OPTIONS /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] DELETE /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] CONNECT /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] TRACE  /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] GET    /api/v1/registry          --> main.main.func20 (4 handlers)
[GIN-debug] GET    /api/v1/registry/public   --> suse-ai-up/internal/handlers.(*RegistryHandler).PublicList-fm (4 handlers)
[GIN-debug] POST   /api/v1/registry/sync/official --> suse-ai-up/internal/handlers.(*RegistryHandler).SyncOfficialRegistry-fm (4 handlers)
[GIN-debug] POST   /api/v1/registry/upload   --> suse-ai-up/internal/handlers.(*RegistryHandler).UploadRegistryEntry-fm (4 handlers)
[GIN-debug] POST   /api/v1/registry/upload/bulk --> suse-ai-up/internal/handlers.(*RegistryHandler).UploadBulkRegistryEntries-fm (4 handlers)
[GIN-debug] POST   /api/v1/registry/upload/local-mcp --> suse-ai-up/internal/handlers.(*RegistryHandler).UploadLocalMCP-fm (4 handlers)
[GIN-debug] GET    /api/v1/registry/browse   --> suse-ai-up/internal/handlers.(*RegistryHandler).BrowseRegistry-fm (4 handlers)
[GIN-debug] GET    /api/v1/registry/:id      --> suse-ai-up/internal/handlers.(*RegistryHandler).GetMCPServer-fm (4 handlers)
[GIN-debug] PUT    /api/v1/registry/:id      --> suse-ai-up/internal/handlers.(*RegistryHandler).UpdateMCPServer-fm (4 handlers)
[GIN-debug] DELETE /api/v1/registry/:id      --> suse-ai-up/internal/handlers.(*RegistryHandler).DeleteMCPServer-fm (4 handlers)
[GIN-debug] GET    /api/v1/deployment/config/:serverId --> suse-ai-up/internal/handlers.(*DeploymentHandler).GetMCPConfig-fm (4 handlers)
[GIN-debug] POST   /api/v1/deployment/deploy --> suse-ai-up/internal/handlers.(*DeploymentHandler).DeployMCP-fm (4 handlers)
2025/11/08 13:04:14 Server starting on port 8911
[GIN] 2025/11/08 - 13:04:14 | 200 |       71.75µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:19 | 200 |      24.292µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:19 | 200 |      66.792µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:19 | 200 |      12.333µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:19 | 200 |      27.708µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:20 | 401 |      20.791µs |             ::1 | POST     "/api/v1/adapters/test-no-auth-server/mcp"
[GIN] 2025/11/08 - 13:05:24 | 200 |      33.833µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:24 | 200 |      26.083µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:24 | 200 |      13.708µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:24 | 200 |      29.625µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:29 | 200 |       32.25µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:29 | 200 |       18.75µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:29 | 200 |      25.584µs |             ::1 | GET      "/api/v1/adapters/test-no-auth-server/sessions"
[GIN] 2025/11/08 - 13:05:29 | 200 |      11.209µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:29 | 200 |      14.875µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:29 | 200 |       10.25µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:29 | 200 |      23.917µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:30 | 200 |      11.584µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:30 | 200 |      12.417µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:30 | 200 |       4.834µs |             ::1 | GET      "/api/v1/adapters/test-no-auth-server/sessions"
[GIN] 2025/11/08 - 13:05:30 | 404 |         625ns |             ::1 | GET      "/api/v1/adapters/test-no-auth-server/metrics"
[GIN] 2025/11/08 - 13:05:30 | 200 |    1.017125ms |             ::1 | GET      "/api/v1/adapters/test-no-auth-server/token"
[GIN] 2025/11/08 - 13:05:34 | 200 |      25.708µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:34 | 200 |      34.542µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:34 | 200 |      11.625µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:34 | 200 |          17µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:35 | 200 |      10.416µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:35 | 200 |      16.084µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:39 | 200 |      21.459µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:39 | 200 |      18.625µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:39 | 200 |      12.167µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:39 | 200 |      25.125µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:40 | 200 |      24.292µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:40 | 200 |       15.25µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:44 | 200 |      22.667µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:44 | 200 |      33.417µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:45 | 200 |      13.791µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:45 | 200 |        13.5µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:45 | 200 |       4.083µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:45 | 200 |      12.542µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:49 | 200 |      21.958µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:49 | 200 |      38.458µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:49 | 200 |      14.208µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:49 | 200 |      18.541µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:50 | 200 |      16.458µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:50 | 200 |      17.292µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:54 | 200 |      22.875µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:54 | 200 |      18.708µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:54 | 200 |      12.875µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:54 | 200 |      15.291µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:55 | 200 |          13µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:55 | 200 |      13.042µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:55 | 200 |      13.834µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:55 | 200 |      20.625µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:55 | 200 |      15.417µs |             ::1 | GET      "/api/v1/adapters/test-no-auth-server/sessions"
[GIN] 2025/11/08 - 13:05:59 | 200 |      21.208µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:59 | 200 |      20.292µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:59 | 200 |      25.709µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:59 | 200 |      12.375µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:00 | 200 |      13.458µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:00 | 200 |      32.584µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:04 | 200 |      21.833µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:04 | 200 |        20.5µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:04 | 200 |      28.458µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:04 | 200 |      18.708µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:05 | 200 |      13.542µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:05 | 200 |      12.416µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:08 | 200 |      21.417µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:08 | 200 |       19.75µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:08 | 404 |         917ns |             ::1 | GET      "/api/v1/metrics"
[GIN] 2025/11/08 - 13:06:08 | 404 |       1.042µs |             ::1 | GET      "/api/v1/adapters/test-no-auth-server/metrics"
[GIN] 2025/11/08 - 13:06:09 | 200 |      12.083µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:09 | 200 |      16.209µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:09 | 200 |      12.333µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:09 | 200 |      16.084µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:14 | 200 |      37.833µs |             ::1 | GET      "/api/v1/discovery/servers"
